Electoral wards and divisions Code,Electoral wards and divisions,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E05013525,Hanwell Broadway,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,52
E05013525,Hanwell Broadway,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,126
E05013525,Hanwell Broadway,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,710
E05013525,Hanwell Broadway,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,762
E05013525,Hanwell Broadway,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,529
E05013525,Hanwell Broadway,8,Economically active and a full-time student: In employment: Employee: Part-time,116
E05013525,Hanwell Broadway,9,Economically active and a full-time student: In employment: Employee: Full-time,32
E05013525,Hanwell Broadway,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,3
E05013525,Hanwell Broadway,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05013525,Hanwell Broadway,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,18
E05013525,Hanwell Broadway,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E05013525,Hanwell Broadway,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,92
E05013525,Hanwell Broadway,15,Economically inactive: Retired,1396
E05013525,Hanwell Broadway,16,Economically inactive: Student,753
E05013525,Hanwell Broadway,17,Economically inactive: Looking after home or family,647
E05013525,Hanwell Broadway,18,Economically inactive: Long-term sick or disabled,497
E05013525,Hanwell Broadway,19,Economically inactive: Other,593
E05013526,Lady Margaret,-8,Does not apply,3074
E05013526,Lady Margaret,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1548
E05013526,Lady Margaret,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3927
E05013526,Lady Margaret,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,67
E05013526,Lady Margaret,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,158
E05013526,Lady Margaret,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,445
E05013526,Lady Margaret,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,613
E05013526,Lady Margaret,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,546
E05013526,Lady Margaret,8,Economically active and a full-time student: In employment: Employee: Part-time,169
E05013526,Lady Margaret,9,Economically active and a full-time student: In employment: Employee: Full-time,45
E05013526,Lady Margaret,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05013526,Lady Margaret,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05013526,Lady Margaret,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,9
E05013526,Lady Margaret,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E05013526,Lady Margaret,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,67
E05013526,Lady Margaret,15,Economically inactive: Retired,1746
E05013526,Lady Margaret,16,Economically inactive: Student,938
E05013526,Lady Margaret,17,Economically inactive: Looking after home or family,1190
E05013526,Lady Margaret,18,Economically inactive: Long-term sick or disabled,585
E05013526,Lady Margaret,19,Economically inactive: Other,656
E05013527,North Acton,-8,Does not apply,3030
E05013527,North Acton,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1391
E05013527,North Acton,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5223
E05013527,North Acton,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,82
E05013527,North Acton,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,162
E05013527,North Acton,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,772
E05013527,North Acton,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,821
E05013527,North Acton,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,671
E05013527,North Acton,8,Economically active and a full-time student: In employment: Employee: Part-time,318
E05013527,North Acton,9,Economically active and a full-time student: In employment: Employee: Full-time,99
E05013527,North Acton,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,6
E05013527,North Acton,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,7
E05013527,North Acton,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,60
E05013527,North Acton,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,17
E05013527,North Acton,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,342
E05013527,North Acton,15,Economically inactive: Retired,1530
E05013527,North Acton,16,Economically inactive: Student,2466
E05013527,North Acton,17,Economically inactive: Looking after home or family,939
E05013527,North Acton,18,Economically inactive: Long-term sick or disabled,475
E05013527,North Acton,19,Economically inactive: Other,629
E05013528,North Greenford,-8,Does not apply,2804
E05013528,North Greenford,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1494
E05013528,North Greenford,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4407
E05013528,North Greenford,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,72
E05013528,North Greenford,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,209
E05013528,North Greenford,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,565
E05013528,North Greenford,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,924
E05013528,North Greenford,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,490
E05013528,North Greenford,8,Economically active and a full-time student: In employment: Employee: Part-time,157
E05013528,North Greenford,9,Economically active and a full-time student: In employment: Employee: Full-time,69
E05013528,North Greenford,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05013528,North Greenford,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05013528,North Greenford,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,20
E05013528,North Greenford,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,18
E05013528,North Greenford,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,60
E05013528,North Greenford,15,Economically inactive: Retired,1803
E05013528,North Greenford,16,Economically inactive: Student,878
E05013528,North Greenford,17,Economically inactive: Looking after home or family,778
E05013528,North Greenford,18,Economically inactive: Long-term sick or disabled,283
E05013528,North Greenford,19,Economically inactive: Other,526
E05013529,North Hanwell,-8,Does not apply,3274
E05013529,North Hanwell,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1294
E05013529,North Hanwell,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3780
E05013529,North Hanwell,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,82
E05013529,North Hanwell,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,139
E05013529,North Hanwell,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,695
E05013529,North Hanwell,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,753
E05013529,North Hanwell,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,513
E05013529,North Hanwell,8,Economically active and a full-time student: In employment: Employee: Part-time,117
E05013529,North Hanwell,9,Economically active and a full-time student: In employment: Employee: Full-time,28
E05013529,North Hanwell,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05013529,North Hanwell,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05013529,North Hanwell,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,12
E05013529,North Hanwell,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E05013529,North Hanwell,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,57
E05013529,North Hanwell,15,Economically inactive: Retired,1692
E05013529,North Hanwell,16,Economically inactive: Student,920
E05013529,North Hanwell,17,Economically inactive: Looking after home or family,764
E05013529,North Hanwell,18,Economically inactive: Long-term sick or disabled,429
E05013529,North Hanwell,19,Economically inactive: Other,483
E05013530,Northfield (Ealing),-8,Does not apply,2901
E05013530,Northfield (Ealing),1,Economically active (excluding full-time students): In employment: Employee: Part-time,1085
E05013530,Northfield (Ealing),2,Economically active (excluding full-time students): In employment: Employee: Full-time,4615
E05013530,Northfield (Ealing),3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,55
E05013530,Northfield (Ealing),4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,142
E05013530,Northfield (Ealing),5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,611
E05013530,Northfield (Ealing),6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,737
E05013530,Northfield (Ealing),7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,388
E05013530,Northfield (Ealing),8,Economically active and a full-time student: In employment: Employee: Part-time,111
E05013530,Northfield (Ealing),9,Economically active and a full-time student: In employment: Employee: Full-time,32
E05013530,Northfield (Ealing),10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05013530,Northfield (Ealing),11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05013530,Northfield (Ealing),12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,20
E05013530,Northfield (Ealing),13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,5
E05013530,Northfield (Ealing),14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,56
E05013530,Northfield (Ealing),15,Economically inactive: Retired,1844
E05013530,Northfield (Ealing),16,Economically inactive: Student,682
E05013530,Northfield (Ealing),17,Economically inactive: Looking after home or family,494
E05013530,Northfield (Ealing),18,Economically inactive: Long-term sick or disabled,202
E05013530,Northfield (Ealing),19,Economically inactive: Other,285
E05013531,Northolt Mandeville,-8,Does not apply,3761
E05013531,Northolt Mandeville,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1666
E05013531,Northolt Mandeville,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4374
E05013531,Northolt Mandeville,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,64
E05013531,Northolt Mandeville,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,161
E05013531,Northolt Mandeville,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,603
E05013531,Northolt Mandeville,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,831
E05013531,Northolt Mandeville,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,625
E05013531,Northolt Mandeville,8,Economically active and a full-time student: In employment: Employee: Part-time,156
E05013531,Northolt Mandeville,9,Economically active and a full-time student: In employment: Employee: Full-time,60
E05013531,Northolt Mandeville,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,5
E05013531,Northolt Mandeville,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,3
E05013531,Northolt Mandeville,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,14
E05013531,Northolt Mandeville,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,19
E05013531,Northolt Mandeville,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120
E05013531,Northolt Mandeville,15,Economically inactive: Retired,1868
E05013531,Northolt Mandeville,16,Economically inactive: Student,1058
E05013531,Northolt Mandeville,17,Economically inactive: Looking after home or family,1044
E05013531,Northolt Mandeville,18,Economically inactive: Long-term sick or disabled,477
E05013531,Northolt Mandeville,19,Economically inactive: Other,626
E05013532,Northolt West End,-8,Does not apply,4064
E05013532,Northolt West End,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1574
E05013532,Northolt West End,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3811
E05013532,Northolt West End,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,85
E05013532,Northolt West End,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,158
E05013532,Northolt West End,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,539
E05013532,Northolt West End,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,602
E05013532,Northolt West End,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,577
E05013532,Northolt West End,8,Economically active and a full-time student: In employment: Employee: Part-time,181
E05013532,Northolt West End,9,Economically active and a full-time student: In employment: Employee: Full-time,51
E05013532,Northolt West End,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05013532,Northolt West End,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,4
E05013532,Northolt West End,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,14
E05013532,Northolt West End,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,7
E05013532,Northolt West End,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,112
E05013532,Northolt West End,15,Economically inactive: Retired,1391
E05013532,Northolt West End,16,Economically inactive: Student,950
E05013532,Northolt West End,17,Economically inactive: Looking after home or family,1129
E05013532,Northolt West End,18,Economically inactive: Long-term sick or disabled,592
E05013532,Northolt West End,19,Economically inactive: Other,693
E05013533,Norwood Green,-8,Does not apply,3356
E05013533,Norwood Green,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1488
E05013533,Norwood Green,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3971
E05013533,Norwood Green,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,83
E05013533,Norwood Green,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,170
E05013533,Norwood Green,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,391
E05013533,Norwood Green,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,503
E05013533,Norwood Green,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,633
E05013533,Norwood Green,8,Economically active and a full-time student: In employment: Employee: Part-time,158
E05013533,Norwood Green,9,Economically active and a full-time student: In employment: Employee: Full-time,45
E05013533,Norwood Green,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05013533,Norwood Green,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05013533,Norwood Green,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,7
E05013533,Norwood Green,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,10
E05013533,Norwood Green,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,97
E05013533,Norwood Green,15,Economically inactive: Retired,1399
E05013533,Norwood Green,16,Economically inactive: Student,987
E05013533,Norwood Green,17,Economically inactive: Looking after home or family,1301
E05013533,Norwood Green,18,Economically inactive: Long-term sick or disabled,710
E05013533,Norwood Green,19,Economically inactive: Other,786
E05013534,Perivale,-8,Does not apply,2995
E05013534,Perivale,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1443
E05013534,Perivale,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4058
E05013534,Perivale,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,78
E05013534,Perivale,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,185
E05013534,Perivale,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,746
E05013534,Perivale,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,993
E05013534,Perivale,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,577
E05013534,Perivale,8,Economically active and a full-time student: In employment: Employee: Part-time,137
E05013534,Perivale,9,Economically active and a full-time student: In employment: Employee: Full-time,37
E05013534,Perivale,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05013534,Perivale,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05013534,Perivale,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,16
E05013534,Perivale,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,6
E05013534,Perivale,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,94
E05013534,Perivale,15,Economically inactive: Retired,1873
E05013534,Perivale,16,Economically inactive: Student,951
E05013534,Perivale,17,Economically inactive: Looking after home or family,998
E05013534,Perivale,18,Economically inactive: Long-term sick or disabled,413
E05013534,Perivale,19,Economically inactive: Other,579
E05013535,Pitshanger,-8,Does not apply,3091
E05013535,Pitshanger,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1211
E05013535,Pitshanger,2,Economically active (excluding full-time students): In employment: Employee: Full-time,4053
E05013535,Pitshanger,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,70
E05013535,Pitshanger,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,171
E05013535,Pitshanger,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,623
E05013535,Pitshanger,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,645
E05013535,Pitshanger,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,518
E05013535,Pitshanger,8,Economically active and a full-time student: In employment: Employee: Part-time,142
E05013535,Pitshanger,9,Economically active and a full-time student: In employment: Employee: Full-time,33
E05013535,Pitshanger,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05013535,Pitshanger,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,3
E05013535,Pitshanger,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,13
E05013535,Pitshanger,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E05013535,Pitshanger,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,89
E05013535,Pitshanger,15,Economically inactive: Retired,1952
E05013535,Pitshanger,16,Economically inactive: Student,839
E05013535,Pitshanger,17,Economically inactive: Looking after home or family,756
E05013535,Pitshanger,18,Economically inactive: Long-term sick or disabled,482
E05013535,Pitshanger,19,Economically inactive: Other,472
E05013536,South Acton,-8,Does not apply,3153
E05013536,South Acton,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1359
E05013536,South Acton,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5412
E05013536,South Acton,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,77
E05013536,South Acton,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,138
E05013536,South Acton,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,667
E05013536,South Acton,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,782
E05013536,South Acton,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,648
E05013536,South Acton,8,Economically active and a full-time student: In employment: Employee: Part-time,133
E05013536,South Acton,9,Economically active and a full-time student: In employment: Employee: Full-time,72
E05013536,South Acton,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,3
E05013536,South Acton,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05013536,South Acton,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,23
E05013536,South Acton,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,4
E05013536,South Acton,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,111
E05013536,South Acton,15,Economically inactive: Retired,1299
E05013536,South Acton,16,Economically inactive: Student,865
E05013536,South Acton,17,Economically inactive: Looking after home or family,812
E05013536,South Acton,18,Economically inactive: Long-term sick or disabled,658
E05013536,South Acton,19,Economically inactive: Other,603
E05013537,Southall Broadway,-8,Does not apply,2151
E05013537,Southall Broadway,1,Economically active (excluding full-time students): In employment: Employee: Part-time,999
E05013537,Southall Broadway,2,Economically active (excluding full-time students): In employment: Employee: Full-time,2677
E05013537,Southall Broadway,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,51
E05013537,Southall Broadway,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,101
E05013537,Southall Broadway,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,214
E05013537,Southall Broadway,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,247
E05013537,Southall Broadway,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,451
E05013537,Southall Broadway,8,Economically active and a full-time student: In employment: Employee: Part-time,136
E05013537,Southall Broadway,9,Economically active and a full-time student: In employment: Employee: Full-time,33
E05013537,Southall Broadway,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E05013537,Southall Broadway,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05013537,Southall Broadway,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,8
E05013537,Southall Broadway,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E05013537,Southall Broadway,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,61
E05013537,Southall Broadway,15,Economically inactive: Retired,1009
E05013537,Southall Broadway,16,Economically inactive: Student,712
E05013537,Southall Broadway,17,Economically inactive: Looking after home or family,1055
E05013537,Southall Broadway,18,Economically inactive: Long-term sick or disabled,337
E05013537,Southall Broadway,19,Economically inactive: Other,581
E05013538,Southall Green,-8,Does not apply,3406
E05013538,Southall Green,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1537
E05013538,Southall Green,2,Economically active (excluding full-time students): In employment: Employee: Full-time,3662
E05013538,Southall Green,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,98
E05013538,Southall Green,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,150
E05013538,Southall Green,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,304
E05013538,Southall Green,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,377
E05013538,Southall Green,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,691
E05013538,Southall Green,8,Economically active and a full-time student: In employment: Employee: Part-time,167
E05013538,Southall Green,9,Economically active and a full-time student: In employment: Employee: Full-time,46
E05013538,Southall Green,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05013538,Southall Green,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05013538,Southall Green,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,11
E05013538,Southall Green,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E05013538,Southall Green,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,117
E05013538,Southall Green,15,Economically inactive: Retired,1258
E05013538,Southall Green,16,Economically inactive: Student,1020
E05013538,Southall Green,17,Economically inactive: Looking after home or family,1444
E05013538,Southall Green,18,Economically inactive: Long-term sick or disabled,434
E05013538,Southall Green,19,Economically inactive: Other,965
E05013539,Southall West,-8,Does not apply,1457
E05013539,Southall West,1,Economically active (excluding full-time students): In employment: Employee: Part-time,633
E05013539,Southall West,2,Economically active (excluding full-time students): In employment: Employee: Full-time,1504
E05013539,Southall West,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,30
E05013539,Southall West,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,55
E05013539,Southall West,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,118
E05013539,Southall West,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,144
E05013539,Southall West,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,267
E05013539,Southall West,8,Economically active and a full-time student: In employment: Employee: Part-time,84
E05013539,Southall West,9,Economically active and a full-time student: In employment: Employee: Full-time,12
E05013539,Southall West,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E05013539,Southall West,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E05013539,Southall West,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,4
E05013539,Southall West,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E05013539,Southall West,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,53
E05013539,Southall West,15,Economically inactive: Retired,594
E05013539,Southall West,16,Economically inactive: Student,417
E05013539,Southall West,17,Economically inactive: Looking after home or family,674
E05013539,Southall West,18,Economically inactive: Long-term sick or disabled,186
E05013539,Southall West,19,Economically inactive: Other,348
E05013540,Southfield,-8,Does not apply,2948
E05013540,Southfield,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1092
E05013540,Southfield,2,Economically active (excluding full-time students): In employment: Employee: Full-time,6039
E05013540,Southfield,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,50
E05013540,Southfield,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,211
E05013540,Southfield,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,807
E05013540,Southfield,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,862
E05013540,Southfield,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,499
E05013540,Southfield,8,Economically active and a full-time student: In employment: Employee: Part-time,71
E05013540,Southfield,9,Economically active and a full-time student: In employment: Employee: Full-time,37
E05013540,Southfield,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E05013540,Southfield,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05013540,Southfield,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,23
E05013540,Southfield,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,10
E05013540,Southfield,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,73
E05013540,Southfield,15,Economically inactive: Retired,1732
E05013540,Southfield,16,Economically inactive: Student,685
E05013540,Southfield,17,Economically inactive: Looking after home or family,665
E05013540,Southfield,18,Economically inactive: Long-term sick or disabled,247
E05013540,Southfield,19,Economically inactive: Other,423
E05013541,Walpole,-8,Does not apply,2622
E05013541,Walpole,1,Economically active (excluding full-time students): In employment: Employee: Part-time,1094
E05013541,Walpole,2,Economically active (excluding full-time students): In employment: Employee: Full-time,5020
E05013541,Walpole,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,52
E05013541,Walpole,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,171
E05013541,Walpole,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,733
E05013541,Walpole,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,752
E05013541,Walpole,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,529
E05013541,Walpole,8,Economically active and a full-time student: In employment: Employee: Part-time,79
E05013541,Walpole,9,Economically active and a full-time student: In employment: Employee: Full-time,43
E05013541,Walpole,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,6
E05013541,Walpole,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05013541,Walpole,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,24
E05013541,Walpole,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,5
E05013541,Walpole,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,68
E05013541,Walpole,15,Economically inactive: Retired,1644
E05013541,Walpole,16,Economically inactive: Student,597
E05013541,Walpole,17,Economically inactive: Looking after home or family,514
