Electoral wards and divisions Code,Electoral wards and divisions,Household composition (15 categories) Code,Household composition (15 categories),Observation
E05011230,Sidcup,-8,Does not apply,0
E05011230,Sidcup,1,One-person household: Aged 66 years and over,1152
E05011230,Sidcup,2,One-person household: Other,1011
E05011230,Sidcup,3,Single family household: All aged 66 years and over,519
E05011230,Sidcup,4,Single family household: Married or civil partnership couple: No children,525
E05011230,Sidcup,5,Single family household: Married or civil partnership couple: Dependent children,965
E05011230,Sidcup,6,Single family household: Married or civil partnership couple: All children non-dependent,414
E05011230,Sidcup,7,Single family household: Cohabiting couple family: No children,387
E05011230,Sidcup,8,Single family household: Cohabiting couple family: With dependent children,260
E05011230,Sidcup,9,Single family household: Cohabiting couple family: All children non-dependent,42
E05011230,Sidcup,10,Single family household: Lone parent family: With dependent children,461
E05011230,Sidcup,11,Single family household: Lone parent family: All children non-dependent,276
E05011230,Sidcup,12,Other household types: Other related household: Other family composition,59
E05011230,Sidcup,13,Other household types: With dependent children,145
E05011230,Sidcup,14,"Other household types: Other, including all full-time students and all aged 66 years and over",318
E05011231,Slade Green & Northend,-8,Does not apply,0
E05011231,Slade Green & Northend,1,One-person household: Aged 66 years and over,391
E05011231,Slade Green & Northend,2,One-person household: Other,780
E05011231,Slade Green & Northend,3,Single family household: All aged 66 years and over,167
E05011231,Slade Green & Northend,4,Single family household: Married or civil partnership couple: No children,316
E05011231,Slade Green & Northend,5,Single family household: Married or civil partnership couple: Dependent children,771
E05011231,Slade Green & Northend,6,Single family household: Married or civil partnership couple: All children non-dependent,267
E05011231,Slade Green & Northend,7,Single family household: Cohabiting couple family: No children,182
E05011231,Slade Green & Northend,8,Single family household: Cohabiting couple family: With dependent children,263
E05011231,Slade Green & Northend,9,Single family household: Cohabiting couple family: All children non-dependent,56
E05011231,Slade Green & Northend,10,Single family household: Lone parent family: With dependent children,685
E05011231,Slade Green & Northend,11,Single family household: Lone parent family: All children non-dependent,307
E05011231,Slade Green & Northend,12,Other household types: Other related household: Other family composition,82
E05011231,Slade Green & Northend,13,Other household types: With dependent children,246
E05011231,Slade Green & Northend,14,"Other household types: Other, including all full-time students and all aged 66 years and over",164
E05011232,Thamesmead East,-8,Does not apply,0
E05011232,Thamesmead East,1,One-person household: Aged 66 years and over,427
E05011232,Thamesmead East,2,One-person household: Other,1180
E05011232,Thamesmead East,3,Single family household: All aged 66 years and over,132
E05011232,Thamesmead East,4,Single family household: Married or civil partnership couple: No children,360
E05011232,Thamesmead East,5,Single family household: Married or civil partnership couple: Dependent children,780
E05011232,Thamesmead East,6,Single family household: Married or civil partnership couple: All children non-dependent,326
E05011232,Thamesmead East,7,Single family household: Cohabiting couple family: No children,143
E05011232,Thamesmead East,8,Single family household: Cohabiting couple family: With dependent children,272
E05011232,Thamesmead East,9,Single family household: Cohabiting couple family: All children non-dependent,44
E05011232,Thamesmead East,10,Single family household: Lone parent family: With dependent children,869
E05011232,Thamesmead East,11,Single family household: Lone parent family: All children non-dependent,375
E05011232,Thamesmead East,12,Other household types: Other related household: Other family composition,99
E05011232,Thamesmead East,13,Other household types: With dependent children,400
E05011232,Thamesmead East,14,"Other household types: Other, including all full-time students and all aged 66 years and over",298
E05011233,West Heath (Bexley),-8,Does not apply,0
E05011233,West Heath (Bexley),1,One-person household: Aged 66 years and over,747
E05011233,West Heath (Bexley),2,One-person household: Other,503
E05011233,West Heath (Bexley),3,Single family household: All aged 66 years and over,725
E05011233,West Heath (Bexley),4,Single family household: Married or civil partnership couple: No children,586
E05011233,West Heath (Bexley),5,Single family household: Married or civil partnership couple: Dependent children,1175
E05011233,West Heath (Bexley),6,Single family household: Married or civil partnership couple: All children non-dependent,631
E05011233,West Heath (Bexley),7,Single family household: Cohabiting couple family: No children,204
E05011233,West Heath (Bexley),8,Single family household: Cohabiting couple family: With dependent children,237
E05011233,West Heath (Bexley),9,Single family household: Cohabiting couple family: All children non-dependent,69
E05011233,West Heath (Bexley),10,Single family household: Lone parent family: With dependent children,291
E05011233,West Heath (Bexley),11,Single family household: Lone parent family: All children non-dependent,299
E05011233,West Heath (Bexley),12,Other household types: Other related household: Other family composition,35
E05011233,West Heath (Bexley),13,Other household types: With dependent children,247
E05011233,West Heath (Bexley),14,"Other household types: Other, including all full-time students and all aged 66 years and over",199
E05011234,Aldborough,-8,Does not apply,0
E05011234,Aldborough,1,One-person household: Aged 66 years and over,504
E05011234,Aldborough,2,One-person household: Other,520
E05011234,Aldborough,3,Single family household: All aged 66 years and over,266
E05011234,Aldborough,4,Single family household: Married or civil partnership couple: No children,324
E05011234,Aldborough,5,Single family household: Married or civil partnership couple: Dependent children,1313
E05011234,Aldborough,6,Single family household: Married or civil partnership couple: All children non-dependent,540
E05011234,Aldborough,7,Single family household: Cohabiting couple family: No children,119
E05011234,Aldborough,8,Single family household: Cohabiting couple family: With dependent children,88
E05011234,Aldborough,9,Single family household: Cohabiting couple family: All children non-dependent,25
E05011234,Aldborough,10,Single family household: Lone parent family: With dependent children,274
E05011234,Aldborough,11,Single family household: Lone parent family: All children non-dependent,277
E05011234,Aldborough,12,Other household types: Other related household: Other family composition,47
E05011234,Aldborough,13,Other household types: With dependent children,436
E05011234,Aldborough,14,"Other household types: Other, including all full-time students and all aged 66 years and over",248
E05011235,Barkingside,-8,Does not apply,0
E05011235,Barkingside,1,One-person household: Aged 66 years and over,496
E05011235,Barkingside,2,One-person household: Other,497
E05011235,Barkingside,3,Single family household: All aged 66 years and over,312
E05011235,Barkingside,4,Single family household: Married or civil partnership couple: No children,353
E05011235,Barkingside,5,Single family household: Married or civil partnership couple: Dependent children,1129
E05011235,Barkingside,6,Single family household: Married or civil partnership couple: All children non-dependent,580
E05011235,Barkingside,7,Single family household: Cohabiting couple family: No children,68
E05011235,Barkingside,8,Single family household: Cohabiting couple family: With dependent children,55
E05011235,Barkingside,9,Single family household: Cohabiting couple family: All children non-dependent,20
E05011235,Barkingside,10,Single family household: Lone parent family: With dependent children,284
E05011235,Barkingside,11,Single family household: Lone parent family: All children non-dependent,233
E05011235,Barkingside,12,Other household types: Other related household: Other family composition,59
E05011235,Barkingside,13,Other household types: With dependent children,486
E05011235,Barkingside,14,"Other household types: Other, including all full-time students and all aged 66 years and over",322
E05011236,Bridge (Redbridge),-8,Does not apply,0
E05011236,Bridge (Redbridge),1,One-person household: Aged 66 years and over,549
E05011236,Bridge (Redbridge),2,One-person household: Other,875
E05011236,Bridge (Redbridge),3,Single family household: All aged 66 years and over,335
E05011236,Bridge (Redbridge),4,Single family household: Married or civil partnership couple: No children,400
E05011236,Bridge (Redbridge),5,Single family household: Married or civil partnership couple: Dependent children,948
E05011236,Bridge (Redbridge),6,Single family household: Married or civil partnership couple: All children non-dependent,377
E05011236,Bridge (Redbridge),7,Single family household: Cohabiting couple family: No children,286
E05011236,Bridge (Redbridge),8,Single family household: Cohabiting couple family: With dependent children,226
E05011236,Bridge (Redbridge),9,Single family household: Cohabiting couple family: All children non-dependent,32
E05011236,Bridge (Redbridge),10,Single family household: Lone parent family: With dependent children,372
E05011236,Bridge (Redbridge),11,Single family household: Lone parent family: All children non-dependent,316
E05011236,Bridge (Redbridge),12,Other household types: Other related household: Other family composition,46
E05011236,Bridge (Redbridge),13,Other household types: With dependent children,251
E05011236,Bridge (Redbridge),14,"Other household types: Other, including all full-time students and all aged 66 years and over",234
E05011237,Chadwell,-8,Does not apply,0
E05011237,Chadwell,1,One-person household: Aged 66 years and over,433
E05011237,Chadwell,2,One-person household: Other,764
E05011237,Chadwell,3,Single family household: All aged 66 years and over,196
E05011237,Chadwell,4,Single family household: Married or civil partnership couple: No children,335
E05011237,Chadwell,5,Single family household: Married or civil partnership couple: Dependent children,1414
E05011237,Chadwell,6,Single family household: Married or civil partnership couple: All children non-dependent,385
E05011237,Chadwell,7,Single family household: Cohabiting couple family: No children,96
E05011237,Chadwell,8,Single family household: Cohabiting couple family: With dependent children,147
E05011237,Chadwell,9,Single family household: Cohabiting couple family: All children non-dependent,36
E05011237,Chadwell,10,Single family household: Lone parent family: With dependent children,556
E05011237,Chadwell,11,Single family household: Lone parent family: All children non-dependent,296
E05011237,Chadwell,12,Other household types: Other related household: Other family composition,75
E05011237,Chadwell,13,Other household types: With dependent children,422
E05011237,Chadwell,14,"Other household types: Other, including all full-time students and all aged 66 years and over",256
E05011238,Churchfields,-8,Does not apply,0
E05011238,Churchfields,1,One-person household: Aged 66 years and over,628
E05011238,Churchfields,2,One-person household: Other,1003
E05011238,Churchfields,3,Single family household: All aged 66 years and over,362
E05011238,Churchfields,4,Single family household: Married or civil partnership couple: No children,541
E05011238,Churchfields,5,Single family household: Married or civil partnership couple: Dependent children,1294
E05011238,Churchfields,6,Single family household: Married or civil partnership couple: All children non-dependent,389
E05011238,Churchfields,7,Single family household: Cohabiting couple family: No children,346
E05011238,Churchfields,8,Single family household: Cohabiting couple family: With dependent children,228
E05011238,Churchfields,9,Single family household: Cohabiting couple family: All children non-dependent,32
E05011238,Churchfields,10,Single family household: Lone parent family: With dependent children,456
E05011238,Churchfields,11,Single family household: Lone parent family: All children non-dependent,298
E05011238,Churchfields,12,Other household types: Other related household: Other family composition,56
E05011238,Churchfields,13,Other household types: With dependent children,235
E05011238,Churchfields,14,"Other household types: Other, including all full-time students and all aged 66 years and over",309
E05011239,Clayhall,-8,Does not apply,0
E05011239,Clayhall,1,One-person household: Aged 66 years and over,345
E05011239,Clayhall,2,One-person household: Other,271
E05011239,Clayhall,3,Single family household: All aged 66 years and over,335
E05011239,Clayhall,4,Single family household: Married or civil partnership couple: No children,251
E05011239,Clayhall,5,Single family household: Married or civil partnership couple: Dependent children,991
E05011239,Clayhall,6,Single family household: Married or civil partnership couple: All children non-dependent,624
E05011239,Clayhall,7,Single family household: Cohabiting couple family: No children,43
E05011239,Clayhall,8,Single family household: Cohabiting couple family: With dependent children,44
E05011239,Clayhall,9,Single family household: Cohabiting couple family: All children non-dependent,20
E05011239,Clayhall,10,Single family household: Lone parent family: With dependent children,217
E05011239,Clayhall,11,Single family household: Lone parent family: All children non-dependent,206
E05011239,Clayhall,12,Other household types: Other related household: Other family composition,37
E05011239,Clayhall,13,Other household types: With dependent children,487
E05011239,Clayhall,14,"Other household types: Other, including all full-time students and all aged 66 years and over",316
E05011240,Clementswood,-8,Does not apply,0
E05011240,Clementswood,1,One-person household: Aged 66 years and over,209
E05011240,Clementswood,2,One-person household: Other,388
E05011240,Clementswood,3,Single family household: All aged 66 years and over,129
E05011240,Clementswood,4,Single family household: Married or civil partnership couple: No children,160
E05011240,Clementswood,5,Single family household: Married or civil partnership couple: Dependent children,891
E05011240,Clementswood,6,Single family household: Married or civil partnership couple: All children non-dependent,386
E05011240,Clementswood,7,Single family household: Cohabiting couple family: No children,37
E05011240,Clementswood,8,Single family household: Cohabiting couple family: With dependent children,70
E05011240,Clementswood,9,Single family household: Cohabiting couple family: All children non-dependent,17
E05011240,Clementswood,10,Single family household: Lone parent family: With dependent children,260
E05011240,Clementswood,11,Single family household: Lone parent family: All children non-dependent,202
E05011240,Clementswood,12,Other household types: Other related household: Other family composition,70
E05011240,Clementswood,13,Other household types: With dependent children,558
E05011240,Clementswood,14,"Other household types: Other, including all full-time students and all aged 66 years and over",304
E05011241,Cranbrook (Redbridge),-8,Does not apply,0
E05011241,Cranbrook (Redbridge),1,One-person household: Aged 66 years and over,322
E05011241,Cranbrook (Redbridge),2,One-person household: Other,450
E05011241,Cranbrook (Redbridge),3,Single family household: All aged 66 years and over,217
E05011241,Cranbrook (Redbridge),4,Single family household: Married or civil partnership couple: No children,255
E05011241,Cranbrook (Redbridge),5,Single family household: Married or civil partnership couple: Dependent children,907
E05011241,Cranbrook (Redbridge),6,Single family household: Married or civil partnership couple: All children non-dependent,404
E05011241,Cranbrook (Redbridge),7,Single family household: Cohabiting couple family: No children,84
E05011241,Cranbrook (Redbridge),8,Single family household: Cohabiting couple family: With dependent children,50
E05011241,Cranbrook (Redbridge),9,Single family household: Cohabiting couple family: All children non-dependent,13
E05011241,Cranbrook (Redbridge),10,Single family household: Lone parent family: With dependent children,195
E05011241,Cranbrook (Redbridge),11,Single family household: Lone parent family: All children non-dependent,224
E05011241,Cranbrook (Redbridge),12,Other household types: Other related household: Other family composition,58
E05011241,Cranbrook (Redbridge),13,Other household types: With dependent children,451
E05011241,Cranbrook (Redbridge),14,"Other household types: Other, including all full-time students and all aged 66 years and over",347
E05011242,Fairlop,-8,Does not apply,0
E05011242,Fairlop,1,One-person household: Aged 66 years and over,592
E05011242,Fairlop,2,One-person household: Other,723
E05011242,Fairlop,3,Single family household: All aged 66 years and over,274
E05011242,Fairlop,4,Single family household: Married or civil partnership couple: No children,398
E05011242,Fairlop,5,Single family household: Married or civil partnership couple: Dependent children,1119
E05011242,Fairlop,6,Single family household: Married or civil partnership couple: All children non-dependent,407
E05011242,Fairlop,7,Single family household: Cohabiting couple family: No children,170
E05011242,Fairlop,8,Single family household: Cohabiting couple family: With dependent children,129
E05011242,Fairlop,9,Single family household: Cohabiting couple family: All children non-dependent,37
E05011242,Fairlop,10,Single family household: Lone parent family: With dependent children,367
E05011242,Fairlop,11,Single family household: Lone parent family: All children non-dependent,283
E05011242,Fairlop,12,Other household types: Other related household: Other family composition,64
E05011242,Fairlop,13,Other household types: With dependent children,429
E05011242,Fairlop,14,"Other household types: Other, including all full-time students and all aged 66 years and over",266
E05011243,Fullwell,-8,Does not apply,0
E05011243,Fullwell,1,One-person household: Aged 66 years and over,583
E05011243,Fullwell,2,One-person household: Other,631
E05011243,Fullwell,3,Single family household: All aged 66 years and over,349
E05011243,Fullwell,4,Single family household: Married or civil partnership couple: No children,318
E05011243,Fullwell,5,Single family household: Married or civil partnership couple: Dependent children,1148
E05011243,Fullwell,6,Single family household: Married or civil partnership couple: All children non-dependent,509
E05011243,Fullwell,7,Single family household: Cohabiting couple family: No children,96
E05011243,Fullwell,8,Single family household: Cohabiting couple family: With dependent children,112
E05011243,Fullwell,9,Single family household: Cohabiting couple family: All children non-dependent,29
E05011243,Fullwell,10,Single family household: Lone parent family: With dependent children,367
E05011243,Fullwell,11,Single family household: Lone parent family: All children non-dependent,348
E05011243,Fullwell,12,Other household types: Other related household: Other family composition,35
E05011243,Fullwell,13,Other household types: With dependent children,432
E05011243,Fullwell,14,"Other household types: Other, including all full-time students and all aged 66 years and over",274
E05011244,Goodmayes,-8,Does not apply,0
E05011244,Goodmayes,1,One-person household: Aged 66 years and over,316
E05011244,Goodmayes,2,One-person household: Other,697
E05011244,Goodmayes,3,Single family household: All aged 66 years and over,118
E05011244,Goodmayes,4,Single family household: Married or civil partnership couple: No children,289
E05011244,Goodmayes,5,Single family household: Married or civil partnership couple: Dependent children,1151
E05011244,Goodmayes,6,Single family household: Married or civil partnership couple: All children non-dependent,363
E05011244,Goodmayes,7,Single family household: Cohabiting couple family: No children,98
E05011244,Goodmayes,8,Single family household: Cohabiting couple family: With dependent children,97
E05011244,Goodmayes,9,Single family household: Cohabiting couple family: All children non-dependent,34
E05011244,Goodmayes,10,Single family household: Lone parent family: With dependent children,344
E05011244,Goodmayes,11,Single family household: Lone parent family: All children non-dependent,215
E05011244,Goodmayes,12,Other household types: Other related household: Other family composition,71
E05011244,Goodmayes,13,Other household types: With dependent children,543
E05011244,Goodmayes,14,"Other household types: Other, including all full-time students and all aged 66 years and over",368
E05011245,Hainault,-8,Does not apply,0
E05011245,Hainault,1,One-person household: Aged 66 years and over,557
E05011245,Hainault,2,One-person household: Other,947
E05011245,Hainault,3,Single family household: All aged 66 years and over,253
E05011245,Hainault,4,Single family household: Married or civil partnership couple: No children,383
E05011245,Hainault,5,Single family household: Married or civil partnership couple: Dependent children,1084
E05011245,Hainault,6,Single family household: Married or civil partnership couple: All children non-dependent,366
E05011245,Hainault,7,Single family household: Cohabiting couple family: No children,206
E05011245,Hainault,8,Single family household: Cohabiting couple family: With dependent children,197
E05011245,Hainault,9,Single family household: Cohabiting couple family: All children non-dependent,71
E05011245,Hainault,10,Single family household: Lone parent family: With dependent children,530
E05011245,Hainault,11,Single family household: Lone parent family: All children non-dependent,431
E05011245,Hainault,12,Other household types: Other related household: Other family composition,67
E05011245,Hainault,13,Other household types: With dependent children,402
E05011245,Hainault,14,"Other household types: Other, including all full-time students and all aged 66 years and over",246
E05011246,Ilford Town,-8,Does not apply,0
E05011246,Ilford Town,1,One-person household: Aged 66 years and over,231
E05011246,Ilford Town,2,One-person household: Other,752
E05011246,Ilford Town,3,Single family household: All aged 66 years and over,38
E05011246,Ilford Town,4,Single family household: Married or civil partnership couple: No children,273
E05011246,Ilford Town,5,Single family household: Married or civil partnership couple: Dependent children,1306
E05011246,Ilford Town,6,Single family household: Married or civil partnership couple: All children non-dependent,181
E05011246,Ilford Town,7,Single family household: Cohabiting couple family: No children,103
E05011246,Ilford Town,8,Single family household: Cohabiting couple family: With dependent children,109
E05011246,Ilford Town,9,Single family household: Cohabiting couple family: All children non-dependent,8
E05011246,Ilford Town,10,Single family household: Lone parent family: With dependent children,370
E05011246,Ilford Town,11,Single family household: Lone parent family: All children non-dependent,153
E05011246,Ilford Town,12,Other household types: Other related household: Other family composition,71
E05011246,Ilford Town,13,Other household types: With dependent children,283
E05011246,Ilford Town,14,"Other household types: Other, including all full-time students and all aged 66 years and over",228
E05011247,Loxford,-8,Does not apply,0
E05011247,Loxford,1,One-person household: Aged 66 years and over,286
E05011247,Loxford,2,One-person household: Other,651
E05011247,Loxford,3,Single family household: All aged 66 years and over,72
E05011247,Loxford,4,Single family household: Married or civil partnership couple: No children,223
E05011247,Loxford,5,Single family household: Married or civil partnership couple: Dependent children,1099
E05011247,Loxford,6,Single family household: Married or civil partnership couple: All children non-dependent,299
E05011247,Loxford,7,Single family household: Cohabiting couple family: No children,102
E05011247,Loxford,8,Single family household: Cohabiting couple family: With dependent children,104
E05011247,Loxford,9,Single family household: Cohabiting couple family: All children non-dependent,22
E05011247,Loxford,10,Single family household: Lone parent family: With dependent children,527
E05011247,Loxford,11,Single family household: Lone parent family: All children non-dependent,272
E05011247,Loxford,12,Other household types: Other related household: Other family composition,119
E05011247,Loxford,13,Other household types: With dependent children,516
E05011247,Loxford,14,"Other household types: Other, including all full-time students and all aged 66 years and over",268
E05011248,Mayfield,-8,Does not apply,0
E05011248,Mayfield,1,One-person household: Aged 66 years and over,394
E05011248,Mayfield,2,One-person household: Other,380
E05011248,Mayfield,3,Single family household: All aged 66 years and over,217
E05011248,Mayfield,4,Single family household: Married or civil partnership couple: No children,236
E05011248,Mayfield,5,Single family household: Married or civil partnership couple: Dependent children,1079
E05011248,Mayfield,6,Single family household: Married or civil partnership couple: All children non-dependent,440
E05011248,Mayfield,7,Single family household: Cohabiting couple family: No children,43
E05011248,Mayfield,8,Single family household: Cohabiting couple family: With dependent children,63
E05011248,Mayfield,9,Single family household: Cohabiting couple family: All children non-dependent,23
E05011248,Mayfield,10,Single family household: Lone parent family: With dependent children,286
E05011248,Mayfield,11,Single family household: Lone parent family: All children non-dependent,232
E05011248,Mayfield,12,Other household types: Other related household: Other family composition,68
E05011248,Mayfield,13,Other household types: With dependent children,640
E05011248,Mayfield,14,"Other household types: Other, including all full-time students and all aged 66 years and over",330
E05011249,Monkhams,-8,Does not apply,0
E05011249,Monkhams,1,One-person household: Aged 66 years and over,561
E05011249,Monkhams,2,One-person household: Other,405
E05011249,Monkhams,3,Single family household: All aged 66 years and over,451
E05011249,Monkhams,4,Single family household: Married or civil partnership couple: No children,388
E05011249,Monkhams,5,Single family household: Married or civil partnership couple: Dependent children,774
E05011249,Monkhams,6,Single family household: Married or civil partnership couple: All children non-dependent,288
E05011249,Monkhams,7,Single family household: Cohabiting couple family: No children,161
E05011249,Monkhams,8,Single family household: Cohabiting couple family: With dependent children,82
E05011249,Monkhams,9,Single family household: Cohabiting couple family: All children non-dependent,16
E05011249,Monkhams,10,Single family household: Lone parent family: With dependent children,139
E05011249,Monkhams,11,Single family household: Lone parent family: All children non-dependent,130
E05011249,Monkhams,12,Other household types: Other related household: Other family composition,20
E05011249,Monkhams,13,Other household types: With dependent children,147
E05011249,Monkhams,14,"Other household types: Other, including all full-time students and all aged 66 years and over",159
E05011250,Newbury,-8,Does not apply,0
E05011250,Newbury,1,One-person household: Aged 66 years and over,304
E05011250,Newbury,2,One-person household: Other,493
E05011250,Newbury,3,Single family household: All aged 66 years and over,188
E05011250,Newbury,4,Single family household: Married or civil partnership couple: No children,234
E05011250,Newbury,5,Single family household: Married or civil partnership couple: Dependent children,1107
E05011250,Newbury,6,Single family household: Married or civil partnership couple: All children non-dependent,495
E05011250,Newbury,7,Single family household: Cohabiting couple family: No children,54
E05011250,Newbury,8,Single family household: Cohabiting couple family: With dependent children,70
E05011250,Newbury,9,Single family household: Cohabiting couple family: All children non-dependent,11
E05011250,Newbury,10,Single family household: Lone parent family: With dependent children,299
E05011250,Newbury,11,Single family household: Lone parent family: All children non-dependent,224
E05011250,Newbury,12,Other household types: Other related household: Other family composition,50
E05011250,Newbury,13,Other household types: With dependent children,503
E05011250,Newbury,14,"Other household types: Other, including all full-time students and all aged 66 years and over",274
E05011251,Seven Kings,-8,Does not apply,0
E05011251,Seven Kings,1,One-person household: Aged 66 years and over,310
E05011251,Seven Kings,2,One-person household: Other,646
E05011251,Seven Kings,3,Single family household: All aged 66 years and over,156
E05011251,Seven Kings,4,Single family household: Married or civil partnership couple: No children,245
E05011251,Seven Kings,5,Single family household: Married or civil partnership couple: Dependent children,1148
E05011251,Seven Kings,6,Single family household: Married or civil partnership couple: All children non-dependent,383
E05011251,Seven Kings,7,Single family household: Cohabiting couple family: No children,79
E05011251,Seven Kings,8,Single family household: Cohabiting couple family: With dependent children,135
E05011251,Seven Kings,9,Single family household: Cohabiting couple family: All children non-dependent,16
E05011251,Seven Kings,10,Single family household: Lone parent family: With dependent children,334
E05011251,Seven Kings,11,Single family household: Lone parent family: All children non-dependent,223
E05011251,Seven Kings,12,Other household types: Other related household: Other family composition,75
E05011251,Seven Kings,13,Other household types: With dependent children,512
E05011251,Seven Kings,14,"Other household types: Other, including all full-time students and all aged 66 years and over",313
E05011252,South Woodford,-8,Does not apply,0
E05011252,South Woodford,1,One-person household: Aged 66 years and over,542
E05011252,South Woodford,2,One-person household: Other,912
E05011252,South Woodford,3,Single family household: All aged 66 years and over,337
E05011252,South Woodford,4,Single family household: Married or civil partnership couple: No children,459
E05011252,South Woodford,5,Single family household: Married or civil partnership couple: Dependent children,1018
E05011252,South Woodford,6,Single family household: Married or civil partnership couple: All children non-dependent,330
E05011252,South Woodford,7,Single family household: Cohabiting couple family: No children,326
E05011252,South Woodford,8,Single family household: Cohabiting couple family: With dependent children,177
E05011252,South Woodford,9,Single family household: Cohabiting couple family: All children non-dependent,20
E05011252,South Woodford,10,Single family household: Lone parent family: With dependent children,252
E05011252,South Woodford,11,Single family household: Lone parent family: All children non-dependent,187
E05011252,South Woodford,12,Other household types: Other related household: Other family composition,56
E05011252,South Woodford,13,Other household types: With dependent children,202
E05011252,South Woodford,14,"Other household types: Other, including all full-time students and all aged 66 years and over",301
E05011253,Valentines,-8,Does not apply,0
E05011253,Valentines,1,One-person household: Aged 66 years and over,245
E05011253,Valentines,2,One-person household: Other,756
E05011253,Valentines,3,Single family household: All aged 66 years and over,170
E05011253,Valentines,4,Single family household: Married or civil partnership couple: No children,391
E05011253,Valentines,5,Single family household: Married or civil partnership couple: Dependent children,1195
E05011253,Valentines,6,Single family household: Married or civil partnership couple: All children non-dependent,342
E05011253,Valentines,7,Single family household: Cohabiting couple family: No children,125
E05011253,Valentines,8,Single family household: Cohabiting couple family: With dependent children,91
E05011253,Valentines,9,Single family household: Cohabiting couple family: All children non-dependent,18
E05011253,Valentines,10,Single family household: Lone parent family: With dependent children,329
E05011253,Valentines,11,Single family household: Lone parent family: All children non-dependent,224
E05011253,Valentines,12,Other household types: Other related household: Other family composition,74
E05011253,Valentines,13,Other household types: With dependent children,458
E05011253,Valentines,14,"Other household types: Other, including all full-time students and all aged 66 years and over",328
E05011254,Wanstead Park,-8,Does not apply,0
E05011254,Wanstead Park,1,One-person household: Aged 66 years and over,360
E05011254,Wanstead Park,2,One-person household: Other,404
E05011254,Wanstead Park,3,Single family household: All aged 66 years and over,229
E05011254,Wanstead Park,4,Single family household: Married or civil partnership couple: No children,285
E05011254,Wanstead Park,5,Single family household: Married or civil partnership couple: Dependent children,666
E05011254,Wanstead Park,6,Single family household: Married or civil partnership couple: All children non-dependent,233
E05011254,Wanstead Park,7,Single family household: Cohabiting couple family: No children,152
E05011254,Wanstead Park,8,Single family household: Cohabiting couple family: With dependent children,125
E05011254,Wanstead Park,9,Single family household: Cohabiting couple family: All children non-dependent,30
E05011254,Wanstead Park,10,Single family household: Lone parent family: With dependent children,154
E05011254,Wanstead Park,11,Single family household: Lone parent family: All children non-dependent,150
E05011254,Wanstead Park,12,Other household types: Other related household: Other family composition,31
E05011254,Wanstead Park,13,Other household types: With dependent children,125
E05011254,Wanstead Park,14,"Other household types: Other, including all full-time students and all aged 66 years and over",115
E05011255,Wanstead Village,-8,Does not apply,0
E05011255,Wanstead Village,1,One-person household: Aged 66 years and over,903
E05011255,Wanstead Village,2,One-person household: Other,1048
E05011255,Wanstead Village,3,Single family household: All aged 66 years and over,304
E05011255,Wanstead Village,4,Single family household: Married or civil partnership couple: No children,537
E05011255,Wanstead Village,5,Single family household: Married or civil partnership couple: Dependent children,919
E05011255,Wanstead Village,6,Single family household: Married or civil partnership couple: All children non-dependent,237
E05011255,Wanstead Village,7,Single family household: Cohabiting couple family: No children,545
E05011255,Wanstead Village,8,Single family household: Cohabiting couple family: With dependent children,158
E05011255,Wanstead Village,9,Single family household: Cohabiting couple family: All children non-dependent,18
E05011255,Wanstead Village,10,Single family household: Lone parent family: With dependent children,245
E05011255,Wanstead Village,11,Single family household: Lone parent family: All children non-dependent,216
E05011255,Wanstead Village,12,Other household types: Other related household: Other family composition,63
E05011255,Wanstead Village,13,Other household types: With dependent children,151
E05011255,Wanstead Village,14,"Other household types: Other, including all full-time students and all aged 66 years and over",272
E05011462,Addiscombe East,-8,Does not apply,0
E05011462,Addiscombe East,1,One-person household: Aged 66 years and over,473
E05011462,Addiscombe East,2,One-person household: Other,866
E05011462,Addiscombe East,3,Single family household: All aged 66 years and over,301
E05011462,Addiscombe East,4,Single family household: Married or civil partnership couple: No children,427
E05011462,Addiscombe East,5,Single family household: Married or civil partnership couple: Dependent children,694
E05011462,Addiscombe East,6,Single family household: Married or civil partnership couple: All children non-dependent,333
E05011462,Addiscombe East,7,Single family household: Cohabiting couple family: No children,255
E05011462,Addiscombe East,8,Single family household: Cohabiting couple family: With dependent children,169
E05011462,Addiscombe East,9,Single family household: Cohabiting couple family: All children non-dependent,28
E05011462,Addiscombe East,10,Single family household: Lone parent family: With dependent children,317
E05011462,Addiscombe East,11,Single family household: Lone parent family: All children non-dependent,272
E05011462,Addiscombe East,12,Other household types: Other related household: Other family composition,53
E05011462,Addiscombe East,13,Other household types: With dependent children,222
E05011462,Addiscombe East,14,"Other household types: Other, including all full-time students and all aged 66 years and over",227
E05011463,Addiscombe West,-8,Does not apply,0
E05011463,Addiscombe West,1,One-person household: Aged 66 years and over,668
E05011463,Addiscombe West,2,One-person household: Other,1545
E05011463,Addiscombe West,3,Single family household: All aged 66 years and over,191
E05011463,Addiscombe West,4,Single family household: Married or civil partnership couple: No children,612
E05011463,Addiscombe West,5,Single family household: Married or civil partnership couple: Dependent children,995
E05011463,Addiscombe West,6,Single family household: Married or civil partnership couple: All children non-dependent,213
E05011463,Addiscombe West,7,Single family household: Cohabiting couple family: No children,546
E05011463,Addiscombe West,8,Single family household: Cohabiting couple family: With dependent children,233
E05011463,Addiscombe West,9,Single family household: Cohabiting couple family: All children non-dependent,46
